id,datetime,family,name,latitude,longitude,city,country
20,3/14/2021,Scrophulariaceae,Gratiola floridana Nutt.,40.7681987,-73.9608428,New York City,United States
21,5/18/2021,Lichinaceae,Pyrenopsis viridirufa Tuck.,31.261447,35.214862,‘Arad,Israel
22,3/26/2021,Orchidaceae,Piperia colemanii R. Morgan & Glicenstein,41.3495192,-8.5704778,Ribeirão,Portugal
23,3/30/2021,Polygonaceae,Polygonum ramosissimum Michx. var. ramosissimum,-7.2087854,112.7479862,Ujung,Indonesia
24,8/9/2021,Haematommataceae,Loxospora pustulata (Brodo & W.L. Culb.) R.C. Harris,6.5930772,124.6161575,Kudanding,Philippines
25,12/25/2020,Poaceae,Arundinella Raddi,51.5489435,33.3860497,Krolevets’,Ukraine
26,12/10/2020,Rosaceae,Potentilla diversifolia Lehm. var. perdissecta (Rydb.) C.L. Hitchc.,20.9959819,105.8097244,Thanh Xuân,Vietnam
27,5/12/2021,Cactaceae,Echinocactus horizonthalonius Lem.,30.071108,120.933128,Xiaoyue,China
28,10/31/2020,Fabaceae,Astragalus hallii A. Gray var. fallax (M.E. Jones) Barneby,48.9292043,40.3719341,Millerovo,Russia
29,10/31/2020,Iridaceae,Ixia L.,23.131797,113.407143,Huangcun,China
30,1/14/2021,Lecanoraceae,Lecanora nordenskioeldii Vain.,55.6607711,52.3473021,Naberezhnyye Chelny,Russia
31,7/25/2021,Fabaceae,Oxytropis borealis DC. var. australis S.L. Welsh,39.898215,116.178179,Baimiao,China
32,3/14/2021,Poaceae,Panicum alatum F. Zuloaga & O. Morrone var. minus (Andersson) F. Zuloaga & O. Morrone,38.8053078,-9.2279436,Casal de Cambra,Portugal
33,12/16/2020,Liliaceae,Fritillaria gentneri Gilkey,25.871681,114.674065,Dongkengkou,China
34,5/28/2021,Violaceae,Viola pedata L.,21.776254,111.221995,Shalang,China
35,7/4/2021,Berberidaceae,Berberis canadensis Mill.,-19.157438,-45.4447859,Abaeté,Brazil
36,5/1/2021,Scrophulariaceae,Castilleja flava S. Watson var. rustica (Piper) N.H. Holmgren,-28.4267829,-52.2182111,Marau,Brazil
37,4/24/2021,Liliaceae,Erythronium mesochoreum Knerr,41.879109,-86.550039,Detroit,United States
38,6/16/2021,Orchidaceae,Cypripedium ×andrewsii A.M. Fuller var. favillianum (J.T. Curtis) B. Boivin (pro nm.),37.1597829,-7.9440252,Malhão,Portugal
39,1/29/2021,Lamiaceae,Monarda punctata L. ssp. punctata var. coryi (E.M. McClint. & Epling) Shinners,49.6705225,13.3996389,Štěnovice,Czech Republic
40,7/26/2021,Ericaceae,Cassiope mertensiana (Bong.) G. Don var. gracilis (Piper) C.L. Hitchc.,41.274605,-8.0974429,Casa Nova,Portugal
41,11/9/2020,Polemoniaceae,Leptosiphon pygmaeus (Brand) J.M. Porter & L.A. Johnson ssp. pygmaeus,33.6716082,61.9813913,Adraskan,Afghanistan
42,12/23/2020,Cyperaceae,Carex incurviformis Mack.,42.896428,130.585349,Miaoling,China
43,10/13/2020,Asteraceae,Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones,3.541868,98.729681,Luthu,Indonesia
44,6/28/2021,Rosaceae,Crataegus anamesa Sarg.,39.0277832,-94.6557914,Shawnee Mission,United States
45,12/15/2020,Acanthaceae,Hypoestes Sol. ex R. Br.,45.5733817,-0.4198187,Royan,France
46,5/5/2021,Liliaceae,Triteleia grandiflora Lindl. var. howellii (S. Watson) Hoover,57.2992579,39.8548496,Gavrilov-Yam,Russia
47,6/2/2021,Cladoniaceae,Cladonia macilenta Hoffm.,29.560254,106.454213,Caqu,China
48,5/1/2021,Lauraceae,Ocotea moschata (Pav. ex Meisn.) Mez,41.58167,19.98556,Kombësi,Albania
49,10/11/2020,Ranunculaceae,Aquilegia micrantha Eastw. var. mancosana Eastw.,55.6411722,37.8060214,Kapotnya,Russia
50,11/7/2020,Asteraceae,Gazania Gaertn.,14.0644874,101.5156074,Prachamtakham,Thailand
51,3/24/2021,Asteraceae,Geraea canescens Torr. & A. Gray,14.6425547,121.010151,Ilihan,Philippines
52,4/4/2021,Hypnaceae,Hypnum pallescens (Hedw.) P. Beauv.,39.3408388,23.0126047,Agriá,Greece
53,12/4/2020,Boraginaceae,Cryptantha corollata (I.M. Johnst.) I.M. Johnst.,6.009544,80.780153,Tangalla,Sri Lanka
54,9/17/2020,Parmeliaceae,Parmelia omphalodes (L.) Ach. ssp. omphalodes,-6.9338,113.9812,Kayukembang,Indonesia
55,4/2/2021,Malvaceae,Fioria vitifolia (L.) Mattei,45.8697083,43.3478599,Divnoye,Russia
56,9/22/2020,Poaceae,Poa ×nematophylla Rydb. (pro sp.),-6.7392854,106.3449755,Ciusul,Indonesia
57,1/29/2021,Asteraceae,Erigeron glabellus Nutt. var. glabellus,41.9238499,20.3755648,Ujmisht,Albania
58,3/24/2021,Coccocarpiaceae,Coccocarpia erythroxyli (Spreng.) Swinscow & Krog,3.8152026,117.1147095,Atap,Indonesia
59,5/2/2021,Polytrichaceae,Atrichum haussknechtii Jur. & Milde,36.8634887,21.9208543,Ágios Andréas,Greece
60,4/11/2021,Chenopodiaceae,Atriplex canescens (Pursh) Nutt.,29.536212,104.189955,Xinpo,China
61,3/17/2021,Asteraceae,Xylorhiza cognata (H.M. Hall) T.J. Watson,31.238854,121.331694,Jiangqiao,China
62,2/8/2021,Asclepiadaceae,Asclepias speciosa Torr.,23.1387718,89.2502399,Jessore,Bangladesh
63,5/25/2021,Asteraceae,Silphium integrifolium Michx. var. neglectum Settle & T.R. Fisher,44.4846365,21.6706559,Kučevo,Serbia
64,4/21/2021,Verbenaceae,Lantana depressa Small var. sanibelensis R.W. Sanders,33.52575,105.91854,Xihuaiba,China
65,12/5/2020,Fabaceae,Sphinctospermum Rose,32.10828,35.05096,Masḩah,Palestinian Territory
66,8/31/2021,Scrophulariaceae,Penstemon eriantherus Pursh var. redactus Pennell & D.D. Keck,53.1892176,50.119277,Khiv,Russia
67,3/2/2021,Celastraceae,Crossopetalum P. Br.,9.0453708,-11.7481137,Bumbuna,Sierra Leone
68,8/11/2021,Fabaceae,Galactia floridana Torr. & A. Gray,35.3,25,Stalís,Greece
69,3/13/2021,Liliaceae,Zephyranthes atamasca (L.) Herb.,-7.4977546,108.6351043,Pasirgaru,Indonesia
70,2/16/2021,Fabaceae,Lupinus sellulus Kellogg ssp. sellulus var. lobbii (A. Gray ex S. Watson) Cox,24.1838881,120.617471,Tongqian,China
71,9/12/2021,Collemataceae,Leptogium (Ach.) A. Gray,-8.1001586,113.8436013,Karangpeton,Indonesia
72,2/23/2021,Aspleniaceae,Asplenium salicifolium L.,12.6256834,11.9804613,Geidam,Nigeria
73,8/4/2021,Asteraceae,Townsendia parryi D.C. Eaton,35.529096,112.849999,Wuxia,China
74,12/26/2020,Asteraceae,Vernonia galamensis (Cass.) Less.,8.7261944,-74.0887576,Barranco de Loba,Colombia
75,9/11/2021,Hymenophyllaceae,Hymenophyllum fucoides (Sw.) Sw.,31.317494,119.276426,Shezhu,China
76,1/20/2021,Orthotrichaceae,Orthotrichum flowersii Vitt,40.4888987,-79.8900686,Pittsburgh,United States
77,3/14/2021,Convolvulaceae,Jacquemontia cayensis Britton,8.3412493,-77.2175223,Acandí,Colombia
78,6/7/2021,Lamiaceae,Hedeoma todsenii Irving,-39.0593613,174.0768108,New Plymouth,New Zealand
79,3/1/2021,Lamiaceae,Phyllostegia kahiliensis H. St. John,50.64274,15.2540856,Železný Brod,Czech Republic
80,10/14/2020,Poaceae,Coleanthus subtilis (Tratt.) Seidel,41.536057,20.696064,Debar,Macedonia
81,12/9/2020,Zygophyllaceae,Larrea tridentata (DC.) Coville var. tridentata,39.9416682,116.3958807,Gulou,China
82,5/19/2021,Lentibulariaceae,Utricularia bifida L.,13.2874832,6.301229,Shinkafe,Nigeria
83,6/2/2021,Asteraceae,Crepis bakeri Greene,49.4904742,11.0986834,Nürnberg,Germany
84,10/30/2020,Cyperaceae,Carex atlantica L.H. Bailey ssp. atlantica,39.283086,117.432007,Zaojiacheng,China
85,9/24/2020,Poaceae,"Muhlenbergia racemosa (Michx.) Britton, Sterns & Poggenb.",-8.5769332,-35.9369952,Cupira,Brazil
86,12/28/2020,Convolvulaceae,Convolvulus nodiflorus Desv.,-17.4738864,24.2955141,Sesheke,Zambia
87,6/15/2021,Asteraceae,Helianthus cusickii A. Gray,56.1644128,12.8833299,Ängelholm,Sweden
88,11/7/2020,Iridaceae,Watsonia borbonica (Pourr.) Goldblatt,8.47834,125.743983,San Luis,Philippines
89,12/24/2020,Nymphaeaceae,Nuphar lutea (L.) Sm. ssp. sagittifolia (Walter) E.O. Beal,-1.3524989,-48.2592606,Benevides,Brazil
90,12/13/2020,Boraginaceae,Lappula occidentalis (S. Watson) Greene var. cupulata (A. Gray) Higgins,-24.5997626,17.9413323,Mariental,Namibia
91,5/7/2021,Iridaceae,Sisyrinchium calciphilum Sorrie,31.1707547,121.3963702,Shuiyin,China
92,1/29/2021,Lamiaceae,Acanthomintha duttonii (Abrams) Jokerst,18.4670158,-69.8932436,Ciudad Nueva,Dominican Republic
93,3/14/2021,Apiaceae,Angelica pinnata S. Watson,41.6412644,19.705595,Laç,Albania
94,4/11/2021,Acanthaceae,Ruellia caroliniensis (J.F. Gmel.) Steud. ssp. ciliosa (Pursh) R.W. Long var. cinerascens (Fernald) Kartesz & Gandhi,41.2096885,-7.7780329,Ribeiro,Portugal
95,6/12/2021,Ramalinaceae,Ramalina paludosa B. Moore,46.5838069,0.3350126,Poitiers,France
96,3/13/2021,Malvaceae,Lavatera L.,14.2524816,100.7323332,Wang Noi,Thailand
97,9/11/2021,Polygonaceae,Eriogonum ostlundii M.E. Jones,32.025538,104.868349,Tiechanggou,China
98,10/14/2020,Caryophyllaceae,Gypsophila elegans M. Bieb.,-7.2719005,112.7196817,Banyuurip,Indonesia
99,12/26/2020,Rutaceae,Fortunella Swingle,49.4753404,83.142888,Belogorskīy,Kazakhstan
100,6/30/2021,Scrophulariaceae,Penstemon acuminatus Douglas ex Lindl.,45.6473994,15.3176752,Metlika,Slovenia
101,9/8/2021,Poaceae,Festuca idahoensis Elmer,-14.5205297,-75.2019585,Río Grande,Peru
102,4/16/2021,Poaceae,Aristida purpurea Nutt. var. nealleyi (Vasey) Allred,39.909969,116.459299,Guxi,China
103,1/5/2021,Scrophulariaceae,Penstemon lentus Pennell var. lentus,-23.3516191,43.6854936,Toliara,Madagascar
104,7/1/2021,Fabaceae,Lupinus oreganus A. Heller var. kincaidii C.P. Sm.,26.2413688,105.9386306,Longshi,China
105,10/6/2020,Umbilicariaceae,Umbilicaria arctica (Ach.) Nyl.,13.1561057,100.8120563,Ko Si Chang,Thailand
106,10/16/2020,Arthoniaceae,Arthonia glaucescens Nyl.,19.4052965,-99.1504583,Buenos Aires,Mexico
107,11/24/2020,Arthoniaceae,Arthonia caesia (Flotow) Körb.,-0.7069135,31.5370003,Rakai,Uganda
108,1/31/2021,Ranunculaceae,Aquilegia scopulorum Tidestr.,52.286684,104.292306,Ivot,Russia
109,8/8/2021,Caryophyllaceae,Minuartia pusilla (S. Watson) Mattf. var. pusilla,-7.0405,113.6397,Bangrat,Indonesia
110,1/18/2021,Asteraceae,Lasthenia leptalea (A. Gray) Ornduff,24.412155,115.744112,Huangbei,China
111,5/28/2021,Solanaceae,Solanum capsicoides All.,-6.4334,105.9098,Kadukandel,Indonesia
112,10/3/2020,Onagraceae,Oenothera stricta Ledeb. ex Link,-11.82167,43.27806,Madjeouéni,Comoros
113,9/16/2020,Orthotrichaceae,Orthotrichum pumilum Sw.,43.4945737,5.8978018,Paris 16,France
114,5/3/2021,Boraginaceae,Cynoglossum L.,52.4460804,-9.4851741,Listowel,Ireland
115,4/16/2021,Pteridaceae,Pteris denticulata Sw.,56.6607917,12.9004521,Halmstad,Sweden
116,12/4/2020,Asteraceae,Ageratum conyzoides L.,-21.7034017,-47.27079,Tambaú,Brazil
117,10/22/2020,Poaceae,Trisetum interruptum Buckley,46.6211188,30.7719233,Krasnosilka,Ukraine
118,11/26/2020,Fabaceae,Astragalus chamaeleuce A. Gray var. laccoliticus (M.E. Jones) Barneby ex Isely,45.5787215,-72.001055,Windsor,Canada
119,2/17/2021,Cladoniaceae,Cladonia simulata Robbins,-7.816461,-78.0452048,Huamachuco,Peru
120,10/23/2020,Campanulaceae,"Cyanea koolauensis Lammers, Givnish & Sytsma",56.5646213,53.8155143,Sarapul,Russia
121,6/30/2021,Rosaceae,Crataegus suborbiculata Sarg.,41.3469244,-8.1451415,Paço,Portugal
122,7/1/2021,Bignoniaceae,Chilopsis linearis (Cav.) Sweet ssp. linearis,29.624269,118.373047,Zhengwan,China
123,2/23/2021,Lamiaceae,Ocimum basilicum L.,-28.7840394,-51.6077771,Nova Prata,Brazil
124,9/12/2021,Bryaceae,Bryum klinggraeffii Schimp.,7.1220009,124.5600318,Dualing,Philippines
125,2/3/2021,Asteraceae,Arnica nevadensis A. Gray,-7.0555388,107.5767035,Batojaran,Indonesia
126,8/3/2021,Asteraceae,Hymenoxys cooperi (A. Gray) Cockerell var. cooperi,26.893368,112.572018,Hengyang,China
127,8/30/2021,Brassicaceae,Lepidium heterophyllum Benth.,34.363184,107.237743,Baojia,China
128,11/17/2020,Rosaceae,Crataegus distincta Kruschke,53.1121503,48.4211315,Syzran’,Russia
129,3/11/2021,Campanulaceae,Cyanea duvalliorum Lammers & H. Oppenh.,-7.57656,-40.4976324,Araripina,Brazil
130,10/3/2020,Lamiaceae,Dicerandra odoratissima Harper,18.4305759,-69.9663985,Mella,Dominican Republic
131,5/16/2021,Scrophulariaceae,Veronica serpyllifolia L. ssp. serpyllifolia,8.1087597,-11.8478324,Baiima,Sierra Leone
132,12/19/2020,Fabaceae,Mucuna pruriens (L.) DC.,35.6940331,138.5178782,Ushiku,Japan
133,9/2/2021,Polemoniaceae,Navarretia willamettensis S.C. Spencer,45.40015,-64.33205,Parrsboro,Canada
134,11/1/2020,Zamiaceae,Zamia pumila L. ssp. pygmaea (Sims) Eckenwalder,-6.2204747,155.6376301,Kieta,Papua New Guinea
135,12/15/2020,Myristicaceae,Virola calophylloidea Markgr.,8.89508,-76.35459,Los Córdobas,Colombia
136,8/3/2021,Loganiaceae,Labordia cyrtandrae (Baill.) H. St. John,14.5699334,121.0204582,San Jose,Philippines
137,5/16/2021,Ranunculaceae,Myosurus cupulatus S. Watson,25.4765601,-108.0887656,Los Angeles,Mexico
138,12/10/2020,Verrucariaceae,Muellerella pygmaea (Körb.) D. Hawksw. var. athallina (Müll. Arg.) Triebel,32.3206,35.20329,Al Fandaqūmīyah,Palestinian Territory
139,12/20/2020,Aceraceae,Acer ginnala Maxim.,53.1406245,17.1259608,Białośliwie,Poland
140,1/27/2021,Caryophyllaceae,Paronychia lindheimeri Engelm. ex A. Gray var. lindheimeri,50.4145342,23.2170296,Susiec,Poland
141,5/30/2021,Myrtaceae,Eucalyptus loxophleba Benth.,50.9811092,17.0357954,Żórawina,Poland
142,8/31/2021,Amaranthaceae,Alternanthera flavescens Kunth,26.7957017,86.2970998,Sirāhā,Nepal
143,7/9/2021,Bignoniaceae,Tabebuia Gomes ex DC.,41.8905758,140.6934778,Kameda-honchō,Japan
144,3/10/2021,Asteraceae,Cirsium helenioides (L.) Hill,61.8245883,16.1406946,Hudiksvall,Sweden
145,11/26/2020,Cyperaceae,Rhynchospora nivea Boeckeler,6.76716,80.9435092,Haputale,Sri Lanka
146,6/6/2021,Parmeliaceae,Xanthoparmelia oleosa (Elix & P.M. Armstrong) Elix & T. Nash,48.4474111,25.0435007,Spas,Ukraine
147,5/13/2021,Solanaceae,Solanum wallacei (A. Gray) Parish,35.4297161,134.3869188,Himeji,Japan
148,10/18/2020,Rosaceae,Rhodotypos Siebold & Zucc.,45.2379183,38.9712949,Novotitarovskaya,Russia
149,1/8/2021,Polemoniaceae,Leptosiphon breviculus (A. Gray) J.M. Porter & L.A. Johnson,41.8404241,23.485653,Bansko,Bulgaria
150,5/14/2021,Solanaceae,Physalis subulata Rydb. var. neomexicana (Rydb.) Waterf. ex Kartesz & Gandhi,-6.9460598,111.8151245,Guwoterus,Indonesia
151,4/15/2021,Cucurbitaceae,Doyerea Gros.,41.4956796,-8.3620667,Sande São Martinho,Portugal
152,10/30/2020,Cyperaceae,Scleria laevis Willd.,-8.132709,-78.0552079,Angasmarca,Peru
153,5/18/2021,Asteraceae,Grindelia fastigiata Greene,29.2979895,48.0510871,Bayān,Kuwait
154,4/26/2021,Verrucariaceae,Endocarpon pusillum Hedwig,69.679788,18.9710079,Tromsø,Norway
155,7/28/2021,Cyperaceae,Carex wahuensis C.A. Mey. ssp. wahuensis,17.9179214,-76.579165,Easington,Jamaica
156,4/28/2021,Fabaceae,Bauhinia fassoglensis Kotschy ex Schweinf.,37.507694,101.414709,Tawa,China
157,11/20/2020,Bombacaceae,Ceiba aesculifolia (Kunth) Britten & Baker f.,41.364568,21.253752,Крушево,Macedonia
158,11/19/2020,Bacidiaceae,Lecania toninioides Zahlbr.,34.500554,103.129954,Daogao,China
159,1/29/2021,Caliciaceae,Thelomma californicum (Tuck.) Tibell,-14.3521224,-170.7810162,Vailoatai,American Samoa
160,2/28/2021,Brassicaceae,Erysimum teretifolium Eastw.,-10.7884789,-37.3185938,Areia Branca,Brazil
161,3/24/2021,Poaceae,Aegilops triuncialis L.,-7.2324,108.1252,Tejakalapa,Indonesia
162,7/27/2021,Fabaceae,Lupinus densiflorus Benth. var. palustris (Kellogg) C.P. Sm.,25.600272,115.786056,Huichang,China
163,8/27/2021,Asteraceae,Porophyllum ruderale (Jacq.) Cass. ssp. macrocephalum (DC.) R.R. Johnson,-6.8364154,111.1980575,Mencon,Indonesia
164,6/26/2021,Poaceae,Gastridium phleoides (Nees & Meyen) C.E. Hubbard,26.888665,112.616612,Yangfeng,China
165,11/25/2020,Fabaceae,Lupinus aridus Douglas ssp. lenorensis (C.P. Sm.) Cox,14.342711,121.0656962,Sabtang,Philippines
166,12/16/2020,Grossulariaceae,Ribes leptanthum A. Gray,38.4677243,-28.5112113,Candelária,Portugal
167,2/14/2021,Sapotaceae,Sideroxylon lanuginosum Michx. ssp. albicans (Sarg.) Kartesz & Gandhi,15.098618,-90.318729,Salamá,Guatemala
168,8/22/2021,Asteraceae,Acmella Rich. ex Pers.,-8.1241998,111.9924913,Sumberingin Kulon,Indonesia
169,8/16/2021,Melastomataceae,Sagraea polystachya (Naud.) Triana,62.2666019,27.1252002,Pieksämäki,Finland
170,5/5/2021,Rubiaceae,Galium trifidum L. ssp. columbianum (Rydb.) Hultén,7.8570335,36.5823944,Āgaro,Ethiopia
171,1/20/2021,Solanaceae,Nierembergia hippomanica Miers var. caerulea (Miers) Millán,-8.655524,119.0052561,Rato,Indonesia
172,3/18/2021,Potamogetonaceae,Stuckenia ×suecica (K. Richt.) Holub,54.8625893,69.2398607,Kyzylzhar,Kazakhstan
173,10/4/2020,Poaceae,Eragrostis silveana Swallen,-7.45,108.033333,Cikalong,Indonesia
174,7/16/2021,Loasaceae,Mentzelia pterosperma Eastw.,23.14355,53.7881,Muzayri‘,United Arab Emirates
175,7/24/2021,Cyperaceae,Carex raymondii Calder,53.09697,-113.4729375,Millet,Canada
176,4/5/2021,Lamiaceae,Scutellaria multiglandulosa (Kearney) Small ex Harper,49.1835908,24.7462961,Bilshivtsi,Ukraine
177,4/18/2021,Amaranthaceae,Alternanthera hassleriana Chodat ex Chodat & Hassler,55.7,37.58333,Novyye Cherëmushki,Russia
178,8/21/2021,Berberidaceae,Podophyllum peltatum L.,-20.3761919,57.5660161,Nouvelle France,Mauritius
179,8/31/2021,Rosaceae,Rubus vitifolius Cham. & Schltdl. var. eastwoodianus (Rydb.) Munz,-7.4400668,108.6561601,Karangpaningal,Indonesia
180,9/21/2020,Cyperaceae,Carex distans L.,44.8671415,4.9157564,Lorient,France
181,9/29/2020,Fabaceae,Dipogon lignosus (L.) Verdc.,46.2475531,-60.2362743,Sydney Mines,Canada
182,4/10/2021,Asteraceae,Hymenoxys ambigens (S.F. Blake) Bierner var. ambigens,43.082258,23.3786254,Lakatnik,Bulgaria
183,4/3/2021,Podocarpaceae,Afrocarpus (J. Buchholz & E.G. Gray) C.N. Page,41.4112348,-7.9526065,Mondim de Basto,Portugal
184,3/19/2021,Lamiaceae,Lamium album L.,43.8177168,4.343135,Nîmes,France
185,5/15/2021,Ranunculaceae,Clematis morefieldii Kral,57.7330292,12.0793963,Göteborg,Sweden
186,11/25/2020,Euphorbiaceae,Chamaesyce ocellata (Durand & Hilg.) Millsp. ssp. arenicola (Parish) Thorne,10.5925289,14.3210095,Maroua,Cameroon
187,9/9/2021,Asteraceae,Pyrrocoma carthamoides Hook. var. cusickii (A. Gray) Kartesz & Gandhi,50.05998,21.8324138,Trzciana,Poland
188,1/10/2021,Violaceae,Viola praemorsa Douglas ex Lindl. ssp. linguifolia (Nutt.) M.S. Baker & J.C. Clausen ex M. Peck,-13.8223647,-171.9596279,Nofoali‘i,Samoa
189,5/2/2021,Myrtaceae,Eucalyptus nigra R.T. Baker,9.8734418,7.9551999,Kachia,Nigeria
190,4/24/2021,Fabaceae,Arachis villosulicarpa Hoehne,47.491705,21.668453,Békéscsaba,Hungary
191,3/23/2021,Caryophyllaceae,Silene virginica L.,56.0689945,13.2357106,Ljungby,Sweden
192,2/18/2021,Rosaceae,Dryas integrifolia Vahl ssp. sylvatica (Hultén) Hultén,33.907654,120.114738,Batan,China
193,12/31/2020,Orchidaceae,Miltonia Lindl.,-31.4311903,-62.0729285,Morteros,Argentina
194,9/16/2020,Asteraceae,Bahia schaffneri S. Watson,41.6429311,-8.1464077,Telhado,Portugal
195,6/30/2021,Violaceae,Viola ×hollickii House,-8.6766175,122.1291843,Sikka,Indonesia
196,5/1/2021,Campanulaceae,Lobelia homophylla E. Wimm.,-18.0833977,-39.5499731,Mucuri,Brazil
197,11/18/2020,Strigulaceae,Strigula americana R.C. Harris,-8.8814738,117.3733989,Tatebal,Indonesia
198,8/8/2021,Dioscoreaceae,Dioscorea bulbifera L.,-19.9030544,-44.1170051,Contagem,Brazil
199,8/13/2021,Campanulaceae,Lobelia gaudichaudii A. DC. ssp. gaudichaudii,42.0813751,48.2792467,Derbent,Russia
200,10/28/2020,Potamogetonaceae,Potamogeton illinoensis Morong,39.2868418,-7.4229064,Portalegre,Portugal
201,10/5/2020,Poaceae,Torreyochloa californica (Beetle) Church,51.6813704,7.9085254,Hamm,Germany
202,6/14/2021,Myrtaceae,Eucalyptus acmenoides Schauer,60.4079862,5.3151044,Bergen,Norway
203,6/23/2021,Cactaceae,Escobaria sneedii Britton & Rose,-25.4021046,-49.1347813,Pinhais,Brazil
204,8/1/2021,Myrtaceae,Syzygium paniculatum Gaertn.,59.6517905,17.0779098,Enköping,Sweden
205,7/8/2021,Cyperaceae,Carex brunnescens (Pers.) Poir. ssp. pacifica Kalela,15.911973,102.4609873,Waeng Yai,Thailand
206,7/11/2021,Poaceae,Elymus canadensis L.,50.1661085,22.2214748,Rakszawa,Poland
207,4/26/2021,Cyperaceae,Gahnia aspera Spreng. ssp. globosa (H. Mann) J. Kern,14.9699796,145.6412079,San Jose Village,Northern Mariana Islands
208,7/14/2021,Boraginaceae,Amsinckia carinata A. Nelson & J.F. Macbr.,55.8437552,38.3176424,Stulovo,Russia
209,1/16/2021,Fabaceae,Lupinus arcticus S. Watson ssp. subalpinus (Piper & B.L. Rob.) D. Dunn,-8.6738819,115.2096864,Jungutbatu Kaja Dua,Indonesia
210,10/13/2020,Lamiaceae,Hedeoma dentata Torr.,34.759314,108.992603,Lingqian,China
211,10/18/2020,Zingiberaceae,Curcuma aromatica Salisb.,-35.1164987,-71.2829759,Molina,Chile
212,12/3/2020,Campanulaceae,Campanula garganica Ten.,10.7164071,123.37862,Bugang,Philippines
213,3/29/2021,Lecanoraceae,Lecanora rupicola (L.) Zahlbr.,6.5390358,21.9910008,Bria,Central African Republic
214,1/31/2021,Teloschistaceae,Caloplaca herbidella (Hue) H. Magn.,36.854929,114.503339,Shahe,China
215,5/11/2021,Hydrophyllaceae,Phacelia lutea (Hook. & Arn.) J.T. Howell var. lutea,-6.7131574,107.0185123,Cipanas,Indonesia
216,9/3/2021,Acanthaceae,Justicia spicigera Schltdl.,39.6678843,-8.8344377,Jardoeira,Portugal
217,6/28/2021,Gesneriaceae,Cyrtandra garnotiana Gaudich.,22.6281506,114.1150734,Sanlian,China
218,5/31/2021,Polygalaceae,Polygala cruciata L. var. cruciata,-6.2167736,106.5230542,Cikupa,Indonesia
219,12/24/2020,Grimmiaceae,Schistidium agassizii Sull. & Lesq.,28.286067,109.429883,Buchou,China
220,8/9/2021,Fabaceae,Astragalus clarianus Jeps.,23.090823,113.74595,Gaobu,China
221,2/7/2021,Poaceae,Bromus porteri (J.M. Coult.) Nash,26.938792,113.861611,Zhitang,China
222,6/20/2021,Fabaceae,Cladrastis Raf.,-9.6923735,120.3322404,Kawangu Satu,Indonesia
223,9/16/2020,Rosaceae,Crataegus pratensis Sarg.,-7.3063645,110.1209019,Pengilon,Indonesia
224,6/4/2021,Clusiaceae,Hypericum mitchellianum Rydb.,14.6293712,121.1072374,Mileb,Philippines
225,7/25/2021,Iridaceae,Ixia polystachya L.,23.0303395,-81.5322149,Matanzas,Cuba
226,7/30/2021,Polygonaceae,Eriogonum tenellum Torr. var. platyphyllum (Torr. ex Benth.) Torr.,53.1395216,14.4504726,Widuchowa,Poland
